"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081601601,0.7,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081601601,0.7,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081601603,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081601604,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081601605,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081601700,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081601800,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081601901,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081601902,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081602000,1.1,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081602000,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081602100,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081602200,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081602300,0.1,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081602300,0.1,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081602400,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081602500,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081602600,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081602700,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081602800,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081602900,3.8,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603000,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603100,13.8,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603100,12.9,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603200,0.1,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603200,0.2,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603300,8.0,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603300,0.5,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603400,19.4,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603400,1.3,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603700,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603801,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603802,0.4,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603802,0.4,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603900,1.0,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081603900,1.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081604000,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081604101,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081604102,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081604200,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081604400,0.0,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081604500,4.2,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081604500,4.2,percent,,,,,,,No,2015,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
"Children with Low Access to a Grocery Store (% of Total Pop)","This indicator shows the percentage of the population that are children living more than one mile from a supermarket or large grocery store if in an urban area, or more than 10 miles from a supermarket or large grocery store if in a rural area.","Census Tract",06081604600,13.9,percent,,,,,,,No,2019,"U.S. Department of Agriculture - Food Environment Atlas","Numerator: Number of children living distant from a supermarket or large grocery store.
Denominator: Total number of people in the population.",,,,,,,,,,,,,
